title,description,duration,languages,speaker_occupation,tags,views,success,comments
A wide-angle view of fragile Earth,"In this image-filled talk, Yann Arthus-Bertrand displays his three most recent projects on humanity and our habitat -- stunning aerial photographs in his series ""The Earth From Above,"" personal interviews from around the globe featured in his web project ""6 billion Others,"" and his soon-to-be-released movie, ""Home,"" which documents human impact on the environment through breathtaking video.",894,31,Photographer,"['art', 'climate change', 'environment', 'film', 'future', 'humanity', 'media', 'photography']",751889,0,143
"Unseen footage, untamed nature","At TED2012, filmmaker Karen Bass shares some of the astonishing nature footage she's shot for the BBC and National Geographic -- including brand-new, previously unseen footage of the tube-lipped nectar bat, who feeds in a rather unusual way ...",608,29,Natural history filmmaker ,"['adventure', 'animals', 'art', 'biodiversity', 'biology', 'cosmos', 'environment', 'exploration', 'film', 'life', 'nature', 'photography', 'science', 'science and art', 'travel']",737937,0,67
How we're growing baby corals to rebuild reefs,"Kristen Marhaver studies corals, tiny creatures the size of a poppyseed that, over hundreds of slow years, create beautiful, life-sustaining ocean structures hundreds of miles long. As she admits, it's easy to get sad about the state of coral reefs; they're in the news lately because of how quickly they're bleaching, dying and turning to slime. But the good news is that we're learning more and more about these amazing marine invertebrates -- including how to help them (and help them help us). This biologist and TED Senior Fellow offers a glimpse into the wonderful and mysterious lives of these hard-working and fragile creatures.",826,27,Coral reef biologist,"['TED Fellows', 'animals', 'biology', 'climate change', 'environment', 'exoskeleton', 'microbiology', 'mission blue', 'nature', 'oceans', 'pollution', 'science', 'water']",729236,0,21
Ecology from the air,"What are our forests really made of? From the air, ecologist Greg Asner uses a spectrometer and high-powered lasers to map nature in meticulous kaleidoscopic 3D detail -- what he calls ""a very high-tech accounting system"" of carbon. In this fascinating talk, Asner gives a clear message: To save our ecosystems, we need more data, gathered in new ways.",830,28,Airborne ecologist,"['Africa', 'Natural resources', 'animals', 'biodiversity', 'botany', 'climate change', 'conservation', 'drones', 'ecology', 'environment', 'green', 'map', 'mining', 'nature', 'photography', 'plants', 'science', 'technology', 'trees', 'visualizations', 'weather']",692579,0,177
Every city needs healthy honey bees,"Bees have been rapidly and mysteriously disappearing from rural areas, with grave implications for agriculture. But bees seem to flourish in urban environments -- and cities need their help, too. Noah Wilson-Rich suggests that urban beekeeping might play a role in revitalizing both a city and a species.",763,29,Beekeeper,"['Natural resources', 'TEDx', 'activism', 'agriculture', 'animals', 'bees', 'biology', 'botany', 'cities', 'climate change', 'ecology', 'environment', 'global issues', 'infrastructure', 'insects', 'nature', 'plants', 'science', 'sustainability', 'urban planning']",687263,0,89
"One seed at a time, protecting the future of food","The wheat, corn and rice we grow today may not thrive in a future threatened by climate change. Cary Fowler takes us inside the Svalbard Global Seed Vault, a vast treasury buried within a frozen mountain in Norway, that stores a diverse group of food-crop seeds ... for whatever tomorrow may bring.",1028,26,Biodiversity archivist,"['Anthropocene', 'agriculture', 'biodiversity', 'climate change', 'disaster relief', 'ecology', 'environment', 'food', 'garden', 'plants']",679728,0,99
4 environmental 'heresies',"The man who helped usher in the environmental movement in the 1960s and '70s has been rethinking his positions on cities, nuclear power, genetic modification and geo-engineering. This talk at the US State Department is a foretaste of his major new book, sure to provoke widespread debate.",1002,22,"Environmentalist, futurist","['Anthropocene', 'TED Brain Trust', 'alternative energy', 'climate change', 'environment', 'future', 'global development', 'global issues', 'green', 'sustainability', 'urban planning']",646378,0,473
What it feels like to see Earth from space,"What the astronauts felt when they saw Earth from space changed them forever. Author and artist Benjamin Grant aims to provoke this same feeling of overwhelming scale and beauty in each of us through a series of stunning satellite images that show the effects human beings are having on the planet. ""If we can adopt a more expansive perspective, embrace the truth of what is going on and contemplate the long-term health of our planet, we will create a better, safer and smarter future for our one and only home,"" Grant says.",725,1,Author,"['TEDx', 'art', 'climate change', 'environment', 'photography']",646174,0,2
How humans and animals can live together,"The legendary chimpanzee researcher Jane Goodall talks about TACARE and her other community projects, which help people in booming African towns live side-by-side with threatened animals.",1426,26,Primatologist; environmentalist,"['Africa', 'animals', 'biodiversity', 'environment', 'global issues', 'pollution', 'primates', 'science']",556147,0,62
Why we're storing billions of seeds,"In this brief talk from TED U 2009, Jonathan Drori encourages us to save biodiversity -- one seed at a time. Reminding us that plants support human life, he shares the vision of the Millennium Seed Bank, which has stored over 3 billion seeds to date from dwindling yet essential plant species.",394,29,Educator,"['biodiversity', 'biology', 'ecology', 'environment', 'future', 'garden', 'life', 'plants', 'science']",555846,0,103
"How we'll resurrect the gastric brooding frog, the Tasmanian tiger","The gastric brooding frog lays its eggs just like any other frog -- then swallows them whole to incubate. That is, it did until it went extinct 30 years ago. Paleontologist Michael Archer makes a case to bring back the gastric brooding frog and the thylacine, commonly known as the Tasmanian tiger.",1056,21,Paleontologist,"['Bioethics', 'DNA', 'TEDx', 'activism', 'animals', 'biodiversity', 'biology', 'climate change', 'conservation', 'deextinction', 'environment', 'genetics', 'history', 'innovation', 'life', 'paleontology', 'science', 'synthetic biology']",554360,0,109
How do you save a shark you know nothing about?,"They're the second-largest fish in the world, they're almost extinct, and we know almost nothing about them. In this talk, Simon Berrow describes the fascinating basking shark (""great fish of the sun"" in Irish), and the exceptional -- and wonderfully low-tech -- ways he's learning enough to save them.",1006,25,Marine biologist,"['TEDx', 'activism', 'animals', 'biology', 'climate change', 'conservation', 'ecology', 'environment', 'exploration', 'fish', 'genetics', 'oceans', 'science']",478456,0,44
The secret of the bat genome,"In Western society, bats are often characterized as creepy, even evil. Zoologist Emma Teeling encourages us to rethink common attitudes toward bats, whose unique and fascinating biology gives us insight into our own genetic makeup.",985,24,Zoologist,"['DNA', 'TEDx', 'aging', 'animals', 'biodiversity', 'biology', 'biomimicry', 'disability', 'disease', 'ecology', 'environment', 'evolution', 'genetics', 'hearing', 'insects', 'science', 'sight']",472121,0,79
The science behind a climate headline,"In 4 minutes, atmospheric chemist Rachel Pike provides a glimpse of the massive scientific effort behind the bold headlines on climate change, with her team -- one of thousands who contributed -- taking a risky flight over the rainforest in pursuit of data on a key molecule.",253,31,Atmospheric chemist,"['chemistry', 'climate change', 'environment', 'global issues', 'science', 'weather']",470615,0,124
Life science in prison,"Nalini Nadkarni challenges our perspective on trees and prisons -- she says both can be more dynamic than we think. Through a partnership with the state of Washington, she brings science classes and conservation programs to inmates, with unexpected results.",307,32,Tree researcher,"['crime', 'ecology', 'environment', 'green', 'nature', 'plants', 'prison', 'social change', 'trees']",426610,0,150
Conserving the canopy,"A unique ecosystem of plants, birds and monkeys thrives in the treetops of the rainforest. Nalini Nadkarni explores these canopy worlds -- and shares her findings with the world below, through dance, art and bold partnerships.",990,20,Tree researcher,"['activism', 'animals', 'biodiversity', 'biology', 'children', 'ecology', 'environment', 'insects', 'plants', 'trees']",398835,0,61
The real danger lurking in the water,"The gharial and king cobra are two of India's most iconic reptiles, and they're endangered because of polluted waterways. Conservationist Romulus Whitaker shows rare footage of these magnificent animals and urges us to save the rivers that sustain their lives and our own.",1038,23,Herpetologist,"['animals', 'biodiversity', 'ecology', 'environment', 'water']",397719,0,42
Deep ocean mysteries and wonders,"In the deepest, darkest parts of the oceans are ecosystems with more diversity than a tropical rainforest. Taking us on a voyage into the ocean -- from the deepest trenches to the remains of Titanic -- marine biologist David Gallo explores the wonder and beauty of marine life.",508,0,Oceanographer,"['TED-Ed', 'biology', 'deextinction', 'ecology', 'environment', 'exploration', 'oceans', 'science', 'submarine']",277544,0,62
The ocean's shifting baseline,"The ocean has degraded within our lifetimes, as shown in the decreasing average size of fish. And yet, as Daniel Pauly shows us onstage at Mission Blue, each time the baseline drops, we call it the new ""normal."" At what point do we stop readjusting downward?",542,26,Fisheries biologist,"['animals', 'biodiversity', 'climate change', 'conservation', 'data', 'ecology', 'environment', 'fish', 'future', 'mission blue', 'oceans', 'pollution', 'population', 'prediction', 'science']",224768,0,27
The sea we've hardly seen,"An average teaspoon of ocean water contains five million bacteria and fifty million viruses -- and yet we are just starting to discover how these ""invisible engineers"" control our ocean's chemistry. At TEDxMonterey, Melissa Garren sheds light on marine microbes that provide half the oxygen we breathe, maintain underwater ecosystems, and demonstrate surprising hunting skills. (Apologies for the small audio glitches in this video.)",697,0,Marine biologist,"['TEDx', 'bacteria', 'biodiversity', 'biology', 'biotech', 'climate change', 'disease', 'environment', 'health', 'innovation', 'microbes', 'microbiology', 'nanoscale', 'oceans', 'pollution', 'science']",166835,0,67
